groupname,overallocation,conflicts,undersupport,unwilling,unpreferred
TA,6,1,2,1,1
TA,3,0,4,1,0
TA,13,0,1,10,3
TA,0,0,6,3,1
TA,1,0,5,3,0
TA,5,2,1,3,1
TA,4,0,2,3,0
TA,1,0,5,1,1
TA,4,0,3,1,0
TA,1,0,4,4,0
TA,5,0,1,11,0
TA,2,0,3,5,0
TA,6,4,1,3,0
TA,3,0,2,4,0
TA,0,0,7,3,0
TA,1,0,7,0,0
TA,0,0,8,0,1
TA,4,2,1,4,1
TA,2,0,4,1,1
TA,0,0,9,0,0
TA,2,0,6,0,0
TA,7,1,3,0,0
TA,2,0,4,3,0
TA,4,2,2,1,1
TA,7,1,1,3,0
TA,7,1,2,2,0
TA,2,0,3,2,1
TA,7,1,0,5,0
TA,3,0,5,0,0
TA,6,1,1,4,0
TA,5,2,3,0,0
TA,3,0,3,1,1
TA,7,0,1,7,4
TA,4,0,4,0,0
TA,3,0,3,3,0
